;subj;time;age;sex;education;TIV;wml;DBP;WHR;globalcog;BPmed;cesd;age_base;DBP_base;WHR_base;age_change;DBP_change;WHR_change;asinh_wml;asinh_wml_base;asinh_wml_change
subj;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0
time;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0
age;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0
sex;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0
education;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0
TIV;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0
wml;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0
DBP;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0
WHR;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0
globalcog;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;0
BPmed;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0
cesd;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0
age_base;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0
DBP_base;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0
WHR_base;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0
age_change;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DBP_change;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WHR_change;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
asinh_wml;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0
asinh_wml_base;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0
asinh_wml_change;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
